X                     	Y                     	FLY0                  	FF                    	FLY                   	Exact                 	Error                 
-1.090000000000000E+00	+7.906419439551786E-01	+3.364816123436192E-01	-5.533913170878037E-03	+3.309476991727411E-01	+3.309475460832373E-01	+1.530895038515112E-07
-1.079999999999998E+00	+7.930095289249001E-01	+3.387982971440412E-01	-5.533894488688657E-03	+3.332644026553525E-01	+3.332645570931019E-01	+1.544377493667426E-07
-1.070000000000000E+00	+7.953858951652736E-01	+3.411334841669400E-01	-5.533875978851520E-03	+3.355996081880885E-01	+3.355994551384135E-01	+1.530496749335697E-07
-1.060000000000002E+00	+7.977708896010173E-01	+3.434859046383970E-01	-5.533857641362013E-03	+3.379520469970350E-01	+3.379522014689536E-01	+1.544719185897492E-07
-1.050000000000001E+00	+8.001643508434638E-01	+3.458567397165891E-01	-5.533839476215555E-03	+3.403229002403736E-01	+3.403227472314592E-01	+1.530089144274882E-07
-1.039999999999999E+00	+8.025661089373070E-01	+3.482447000020512E-01	-5.533821483407618E-03	+3.427108785186436E-01	+3.427110330257121E-01	+1.545070685282646E-07
-1.030000000000001E+00	+8.049759851031207E-01	+3.506509450787078E-01	-5.533803662933714E-03	+3.451171414157741E-01	+3.451169884484383E-01	+1.529673357980599E-07
-1.020000000000000E+00	+8.073937914757960E-01	+3.530741630967282E-01	-5.533786014789395E-03	+3.475403770819389E-01	+3.475405316250303E-01	+1.545430914351442E-07
-1.009999999999998E+00	+8.098193308390529E-01	+3.555154901931874E-01	-5.533768538970257E-03	+3.499817216542171E-01	+3.499815687291281E-01	+1.529250890919265E-07
-1.000000000000000E+00	+8.122523963562356E-01	+3.579735901458077E-01	-5.533751235471940E-03	+3.524398389103358E-01	+3.524399934901568E-01	+1.545798209989790E-07
-9.900000000000020E-01	+8.146927712975948E-01	+3.604495736755460E-01	-5.533734104290133E-03	+3.549158395712558E-01	+3.549156866889296E-01	+1.528823262431089E-07
-9.800000000000004E-01	+8.171402287642906E-01	+3.629420781698156E-01	-5.533717145420554E-03	+3.574083610243950E-01	+3.574085156414753E-01	+1.546170802502189E-07
-9.699999999999989E-01	+8.195945314093841E-01	+3.654521868694139E-01	-5.533700358858977E-03	+3.599184865105550E-01	+3.599183336712951E-01	+1.528392599148276E-07
-9.600000000000009E-01	+8.220554311561112E-01	+3.679785086602539E-01	-5.533683744601215E-03	+3.624448249156527E-01	+3.624449795703065E-01	+1.546546537500859E-07
-9.499999999999993E-01	+8.245226689137545E-01	+3.705220971475288E-01	-5.533667302643121E-03	+3.649884298448857E-01	+3.649882770487732E-01	+1.527961125402655E-07
-9.399999999999977E-01	+8.269959742914537E-01	+3.730815305152647E-01	-5.533651032980595E-03	+3.675478794822841E-01	+3.675480341745673E-01	+1.546922832051933E-07
-9.299999999999997E-01	+8.294750653103510E-01	+3.756578304909602E-01	-5.533634935609581E-03	+3.701241955553506E-01	+3.701240428021975E-01	+1.527531531819726E-07
